,size_y,beta_y,momentum_y,volatility_y,nlsize_y,value_y,liquidity_y,earnings_yield_y,growth_y,leverage_y,zx_petro_y,zx_coal_y,zx_metals_y,zx_power_y,zx_steel_y,zx_chemicals_y,zx_construct_eng_y,zx_construct_mat_y,zx_light_man_y,zx_machinery_y,zx_electr_equip_y,zx_defense_y,zx_automobiles_y,zx_retail_y,zx_hotels_lei_y,zx_household_dur_y,zx_textile_y,zx_medical_y,zx_food_bev_y,zx_agriculture_y,zx_banks_y,zx_real_estate_y,zx_transportation_y,zx_electronic_comp_y,zx_communication_y,zx_computers_y,zx_media_y,zx_compre_y,zx_securites_y,zx_insurance_y,zx_diversified_fin_y
003238.OF,-0.2020231375340207,0.5558380145984669,0.4599231621197428,-0.3261812513850166,0.06734850584474028,-0.3657360636491079,-0.4058847172106879,-0.1011439840535368,-0.05652424302343628,-0.08897354342038089,0.0,0.0,-0.002761704703515333,-0.05497922356585161,0.0,0.004594988571858583,0.01263546306490859,0.001957136318180286,0.0,0.02328110865477773,0.2433538467288654,-0.01550577816809617,0.0703269104275841,0.002555764429139185,0.002053105700510871,-0.005649525289875834,0.0,0.0510070903449904,0.165368301747814,0.01075346099591545,-0.004166285759017008,-0.02064492792714057,0.0,0.1761891734739733,0.08419796727856,0.2157025176968894,0.01397832339301597,0.0,-0.06443478131722347,0.0,0.0
012159.OF,0.1242534563802111,0.0258522213751724,0.09001214106812094,-0.2119278890672048,-0.1090620651245638,-0.04481355330742176,-0.07732447423259114,-0.01772314383671814,0.004903443105478189,0.002750280321468956,0.0,0.0,0.0,0.0,0.0,-0.007733433033993875,0.0,0.0,0.0,0.0,0.01857434692856863,0.0,0.0,0.0,0.0,0.0,0.0,0.1092154815139876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
012930.OF,0.6406722691513891,0.1770007688948045,-0.03747718871475769,-0.2339930252219238,-0.2089385461742942,-0.1255298892754011,-0.2475245026311208,-0.04887309663593287,-0.008504233563765062,0.001399786957425153,0.0,0.0,0.0,0.0,0.0,-0.01256594305465786,0.0,-0.0592738000401819,0.0,0.0,0.02215655662406801,0.0,0.0,0.0,0.0,0.0,0.0,0.01580678417608028,-0.04444291249505328,0.0,0.0,0.0,0.0,0.140176128035747,0.0,0.3969353522263366,0.0,0.0,0.0,0.0,0.0
007518.OF,0.2382426406522478,0.06029482745463199,0.05934013827126683,-0.2965101954782551,-0.1750257202189304,-0.3174165619323417,-0.2763352505792014,-0.09447165300974669,-0.02026978707580684,-0.05804264824179162,0.0,0.04039693264591193,0.0,-0.01725484974557678,0.05406432723433263,0.01036679170864718,0.000630750462183638,0.003608671038750844,-0.05394960777694646,-0.01755735873572062,0.2298301192904331,0.121843712503976,-0.0321701873016067,-0.1046614793887244,0.0,0.0,-0.004631719431118619,0.02244289570710656,0.0363315613449795,0.05551949259753308,0.008603244218609474,-0.02189483489754651,0.0113784104864556,0.04355138606900932,0.0,0.05899451651925025,-0.03759882289604277,0.0,0.0,0.0,0.0
001532.OF,0.3302913079368612,0.7393983465428866,0.05261557491730184,-0.3532552712089365,-0.2097744321763516,-0.1827594015035123,-0.4569973208072037,-0.07103716924461101,0.008358188468222227,-0.1189572386582944,0.0,0.005899233716490038,0.0,-0.01416448581045715,0.01338694308173993,0.04194950276803322,0.0,-0.001527174147188837,0.0,0.11341070490377,0.1744738878303251,-0.005315317602541669,0.0401842866060671,0.0,0.07783305378036354,0.008756885529589198,0.0,0.05041857154937834,0.0871381171572394,0.0,0.0,0.0,0.01933339795843914,-0.01181870246974348,0.0,0.0,0.1140019882721075,0.0,0.0,0.0,0.0
009857.OF,-0.1456011375659512,0.3243174934821635,0.0196013372988848,-0.1571706227547586,-0.002074428434815867,-0.1517182590609926,-0.07230217211832068,-0.02198399568914933,-0.03103099115609398,0.04652150200725802,0.01872827759352647,0.0,-0.01814053472930832,-0.007221573799457537,0.03899255421160253,0.01255302562531968,0.0,0.0,0.0,0.009391133945473085,0.17872824836566,0.06165487205665476,0.0,0.0,0.0,-0.002727796602312149,0.0,-0.006792604027884175,0.009121816872111221,-0.00609984807742403,0.007575238183059607,-0.01065914509199661,0.02390074887248517,0.03155073587358737,0.0,0.03661148561017757,0.0,0.0,0.0,-0.04251073560589613,0.0
005695.OF,0.4580042560960305,0.2406715566809841,0.01120095085899009,-0.2013681206003043,-0.1560923856513674,-0.0979783920631988,-0.2853750690742588,-0.04145590216916861,-0.03316164828617851,-0.05791856409155571,0.0298920812697987,0.0,0.05938581159293133,0.0786899286148357,0.0,-0.02953936911420629,0.0,0.03044852739011672,0.01000614537944045,0.04131830384296142,0.122314968175306,0.01947066495473471,0.0236118298139778,0.0,0.0,-0.01098353322225443,0.0,0.03410926170388673,0.03397327705400399,0.0,-0.02005509941036865,-0.017140544591566,-0.0005699050386431814,-0.007212907598877605,0.0,-0.0473600835937622,-0.04165299455765614,0.0,0.0,-0.1346407186057615,0.0
001513.OF,-0.2294069733183046,0.8359727082216366,0.3688014273961304,-0.2910972933006511,-0.05770324890509881,-0.3101262677281331,-0.3927503194658593,-0.1299783558164275,-0.001889653723512463,-0.1599311459675291,0.0,0.0,0.0,0.0,0.0,0.02963088621447363,0.0,0.0,0.0,-0.0152681489321963,0.2121512434608674,0.01810231752213354,0.0,0.0,0.0,0.005289460317900119,0.0,0.0,0.0,-0.003956545665221411,0.0,0.0,0.0,0.04481927982267586,-0.128712642507151,0.3036434490610553,-0.001337512012535735,0.0,0.0,0.0,0.0
008264.OF,-0.3887849337407329,0.4118260757027865,0.1332378520611308,-0.2207038541168114,0.1955498987677824,-0.2342984765977922,-0.1858719625239795,-0.09055136843666556,-0.01985215748249813,-0.133466061273905,-0.006541172765704983,0.0,-0.01360648236630924,0.0,-0.02475771320883902,0.01348683486023461,0.0,-0.001735282921126458,0.0,0.01846266633443738,0.2005134491459222,0.02178211452304057,0.0,0.0,-0.04101954221325088,-0.002283160053458411,0.0,-0.03999926397184517,-0.03493583313599558,-0.0005662971965867403,-0.09990788716156396,-0.01778122565877183,-0.01493537041014403,-0.08112108781923821,-0.003517804196070173,0.1678901750714845,0.0,0.0,0.0,0.0,0.0
050009.OF,-0.1919518315570097,1.131276318710615,0.1262513680550712,-0.281511038903704,0.002555679729730143,-0.2729956377050916,-0.4304586989342752,-0.1061069402651412,-0.01619664556042466,-0.07285475259360519,0.0,0.0,0.07944516842029548,0.0,0.0,0.0,0.0,0.0,0.0,0.03624749615812251,0.6493847764186622,0.02770236416927863,0.0,0.0,0.0,0.0,0.0,-0.03147971602468635,0.0,0.007387597390389633,0.0,0.0,0.0,0.01860899304412489,0.0,-0.04037809940376502,-0.07420980578758973,0.0,0.0,0.0,0.0
004316.OF,-0.001405381743450174,-0.0004166310223203684,-0.04942665828756865,-0.0266803762730331,-0.001646837881365104,0.03777760506807692,-0.07057791322408957,-0.00824839696255586,-0.0130798514508037,-0.03231350293682544,0.0,0.0,0.1059578583968408,0.0,0.0,0.0,0.0,0.0,0.0,-7.092806476904912e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002660945317522811,0.0,-0.058675596226749,-0.007140272234145373,0.0,0.0,0.0,0.0
007439.OF,-0.09601939927887937,1.051121999125051,0.1562750543739448,-0.3231320263113704,-0.05214863293407612,-0.2518523214749144,-0.4315561577549657,-0.1019286414091843,-0.05479082198677065,-0.04069805233857082,0.0,0.0,0.06753556981289388,-0.001216460797066943,0.0,-0.003308416116552859,0.0,-0.001837794630731748,0.0,-0.03210264653291728,0.1719021573328636,0.02761398067738763,-0.01615467802677173,0.0,0.0,-0.002539708413779262,0.01045900030625302,-0.02824420957185081,0.0,-0.005395463866110894,0.002526472536110935,0.0,0.03088191963403686,0.1445481892727218,0.03620404115356268,-0.05683378035362141,-0.05522359103185759,0.0,0.0,-0.08466422221575898,0.0
009990.OF,-0.3877573677669499,0.8434900623138122,0.3190104927207031,-0.2549145239858638,0.04992525888598864,-0.3544399504651583,-0.3027274239107083,-0.1202657111052935,-0.00903698697800126,-0.07974315130384879,0.0,-0.03967253543154925,0.003861198490814122,0.0,0.0,-0.02584029262411991,0.0,-0.01260321161318378,0.0,-0.003643966759180883,0.1844997840041573,-0.02555623392203887,-0.05493941381717093,0.0,0.02441075282095984,0.0,0.0,-0.0778224310868244,0.006237609796306165,0.0,0.002562975834343062,-0.0147320642776525,0.0,0.04522570570675088,0.01282334281643682,0.06208468590277549,0.07264132873795526,0.0,0.0,-0.02729511328725165,0.0
