,行业广度,行业换手
013365.OF,5.0,1.047016544104098
009992.OF,5.625,1.394050707647462
006890.OF,6.166666666666667,1.981089622522299
000960.OF,1.083333333333333,0.04135679303464534
012239.OF,7.5,2.221730402530639
008997.OF,4.272727272727272,3.085705579766302
002103.OF,6.666666666666667,3.385601806995453
233009.OF,7.416666666666667,3.316903916702105
003835.OF,5.833333333333333,2.301294812942748
010275.OF,5.375,1.010140949498047
270028.OF,5.416666666666667,1.038835161758642
000398.OF,4.8,3.389470593186459
005270.OF,7.0,1.943643029385784
013776.OF,8.25,0.2594598891580274
004805.OF,3.5,0.7677973230786409
013812.OF,6.25,1.302051924287365
001564.OF,8.666666666666666,1.080401018430667
001043.OF,7.0,1.556992859515362
000477.OF,3.416666666666667,0.4033300382215981
671030.OF,7.166666666666667,2.604304276222847
007119.OF,6.166666666666667,0.8608799217914034
013021.OF,6.8,1.504454009841166
007470.OF,6.916666666666667,1.383744732362552
005164.OF,6.416666666666667,0.8721028231001995
002259.OF,5.916666666666667,1.093985927891397
012093.OF,3.0,1.786417472572664
001398.OF,5.416666666666667,2.216193274101037
004423.OF,6.416666666666667,2.245759449620806
481017.OF,7.916666666666667,1.657647767022711
005953.OF,6.75,2.637623594157237
006604.OF,3.166666666666667,0.6348292864706881
009595.OF,7.5,3.217904407870935
010340.OF,3.25,0.8097445906190875
001496.OF,5.583333333333333,1.314339988192487
001202.OF,8.416666666666666,1.771851179459159
009128.OF,6.636363636363637,1.857605167219607
013859.OF,4.0,0.6512039913479808
010896.OF,6.428571428571429,1.797352707900019
012196.OF,7.333333333333333,0.9560665880432007
010301.OF,5.888888888888889,1.963106191799175
630016.OF,6.583333333333333,1.991597050692316
001967.OF,5.916666666666667,1.754632322853066
002160.OF,6.083333333333333,1.745762836150861
008065.OF,5.909090909090909,1.618708167976444
014347.OF,6.75,2.203835055897736
006323.OF,5.75,1.835683242588352
000963.OF,6.583333333333333,1.774448536907485
000619.OF,6.833333333333333,1.102657883151078
004677.OF,6.5,2.620266015710567
398041.OF,3.25,1.51539229640857
002135.OF,6.454545454545454,2.873809032036093
013767.OF,7.0,1.683786211510818
011111.OF,4.333333333333333,2.232904373307502
013465.OF,6.25,2.214986708303471
002231.OF,6.416666666666667,2.399524230912023
009893.OF,2.0,0.7620083875242434
003308.OF,8.0,1.620883779881504
001718.OF,6.666666666666667,2.892628218823702
001709.OF,4.083333333333333,1.33570442907411
860016.OF,4.444444444444445,1.331504815891019
004881.OF,7.083333333333333,1.208435890542644
004814.OF,7.916666666666667,1.718958811030317
011427.OF,8.6,0.6243791646543998
000711.OF,1.0,0.0
000953.OF,7.416666666666667,2.392295449216483
001731.OF,5.75,1.869724978678863
013095.OF,5.0,2.241799612802244
005075.OF,6.75,2.427069670531312
001723.OF,5.75,1.993990027136324
166801.OF,6.416666666666667,1.114649041736566
000354.OF,5.333333333333333,2.220653031176097
012744.OF,3.166666666666667,0.6255003560126227
005049.OF,5.666666666666667,2.183337625222929
002561.OF,7.5,3.022373127405525
001004.OF,4.916666666666667,1.395442362604247
001664.OF,7.166666666666667,2.693328382937497
009341.OF,5.5,1.233918264963236
010615.OF,4.125,1.569734931527114
006689.OF,5.416666666666667,2.759428717419284
002083.OF,4.5,0.9805421651499312
002182.OF,6.416666666666667,0.7736617604445035
012051.OF,4.5,1.179504618535082
010106.OF,6.0,1.275398202641398
013160.OF,4.6,0.9342621877874396
206013.OF,6.25,2.427257322399813
008314.OF,5.666666666666667,1.804891780999673
007368.OF,1.2,0.5685045166191328
270007.OF,5.333333333333333,0.8359211122475849
000520.OF,7.75,0.6890001684037781
008491.OF,3.857142857142857,0.7723031064677194
005161.OF,5.666666666666667,2.211338801126506
002959.OF,4.916666666666667,0.9362930525075216
001801.OF,5.727272727272728,2.0133598783752
002085.OF,5.75,3.251221330049066
001811.OF,5.916666666666667,1.493439870999699
